Week,sales,branded_search_spend,nonbranded_search_spend,facebook_spend,print_spend,ooh_spend,tv_spend,radio_spend
2/10/2019,29088,1544.4,234,810.81,1500,1000,0,0
2/17/2019,30300,1591.2,236.34,803.556,1500,1000,0,0
2/24/2019,32076,1544.4,229.32,749.034,1500,1000,0,0
3/3/2019,33600,1528.8,238.68,764.4,1500,1000,0,0
3/10/2019,38784,1560,238.68,780,1500,1000,0,0
3/17/2019,46056,1544.4,238.68,733.59,1500,1000,0,0
3/24/2019,48708,1528.8,229.32,794.976,1500,1000,0,0
3/31/2019,52116,1544.4,231.66,795.366,1500,1000,0,0
4/7/2019,54000,1890.72,231.66,916.9992,0,0,0,0
4/14/2019,49896,1872,234,917.28,0,0,0,0
4/21/2019,49896,1834.56,238.68,889.7616,0,0,0,0
4/28/2019,54000,1834.56,236.34,935.6256,0,0,0,2000
5/5/2019,55836,1853.28,234,945.1728,0,0,0,2000
5/12/2019,57024,1890.72,238.68,992.628,0,0,0,2000
5/19/2019,58212,1890.72,238.68,935.9064,0,0,0,2000
5/26/2019,61776,1909.44,238.68,906.984,0,0,0,2000
6/2/2019,64236,1909.44,238.68,926.0784,0,0,0,2000
6/9/2019,63024,1834.56,231.66,926.4528,0,0,0,2000
6/16/2019,61812,1928.16,238.68,915.876,0,0,0,2000
6/23/2019,64800,1928.16,234,1012.284,0,0,0,2000
6/30/2019,64800,1928.16,231.66,964.08,0,0,0,2000
7/7/2019,62964,1872,238.68,907.92,0,0,0,2000
7/14/2019,62964,1834.56,231.66,871.416,0,0,0,0
7/21/2019,54540,1890.72,229.32,945.36,0,0,0,0
7/28/2019,55836,1834.56,231.66,880.5888,0,0,0,0
8/4/2019,55200,1872,229.32,907.92,0,0,0,0
8/11/2019,55200,2340,354.51,1228.5,0,0,0,0
8/18/2019,53328,2340,358.02,1111.5,0,0,0,0
8/25/2019,85200,2293.2,343.98,1158.066,0,0,2500,0
9/1/2019,85812,2340,347.49,1146.6,0,0,2500,0
9/8/2019,79752,2340,347.49,1181.7,0,0,2500,0
9/15/2019,84400,2316.6,351,1181.466,0,0,2500,0
9/22/2019,82648,2363.4,358.02,1122.615,0,0,2500,0
9/29/2019,80800,2340,347.49,1216.8,0,0,2500,0
10/6/2019,96000,2410.2,351,1241.253,0,0,2500,0
10/13/2019,94332,2340,351,1228.5,0,0,2500,0
10/20/2019,91956,2410.2,561.6,1205.1,500,0,2500,0
10/27/2019,86400,2363.4,561.6,1181.7,500,0,2500,0
11/3/2019,91956,2410.2,572.832,1217.151,500,0,2500,0
11/10/2019,89580,2316.6,561.6,1193.049,500,0,2500,0
11/17/2019,92844,2363.4,561.6,1134.432,500,0,2500,0
11/24/2019,77328,1544.4,370.656,749.034,500,0,2500,0
12/1/2019,69144,1606.8,381.888,779.298,500,0,2500,0
12/8/2019,68844,1544.4,370.656,741.312,500,0,2500,0
12/15/2019,68400,1544.4,374.4,749.034,500,0,2500,0
12/22/2019,68400,1591.2,374.4,811.512,500,0,2500,0
12/29/2019,75208,1591.2,341.888,763.776,500,0,2500,0
1/5/2020,42996.8,1544.4,345.984,749.034,500,0,0,0
1/12/2020,41996.8,1575.6,354.51,772.044,500,0,0,0
1/19/2020,40056.4,1560,351,741,500,0,0,0
1/26/2020,41996.8,1575.6,351,795.678,500,0,0,0
2/2/2020,43330,1528.8,343.98,764.4,500,0,0,0
2/9/2020,41363.2,1544.4,351,803.088,500,0,0,0
2/16/2020,48280,1544.4,347.49,779.922,500,0,0,0
2/23/2020,48280,1544.4,351,764.478,500,0,0,0
3/1/2020,41817.6,1591.2,347.49,779.688,500,0,0,0
3/8/2020,39996,1575.6,351,827.19,500,0,0,0
3/15/2020,43995.6,1528.8,358.02,779.688,500,0,0,0
3/22/2020,54885.6,1560,343.98,748.8,500,0,0,0
3/29/2020,68640,2386.8,354.51,1133.73,500,0,0,0
4/5/2020,87120,3439.8,526.5,1754.298,500,0,0,0
4/12/2020,92400,3474.9,531.765,1667.952,500,0,0,0
4/19/2020,104280,3510,526.5,1790.1,0,0,0,0
4/26/2020,99988,5955.3,521.235,3007.4265,0,0,0,0
5/3/2020,83987.6,5885.1,987.03,2824.848,0,0,0,0
5/10/2020,87612,5885.1,976.5,3089.6775,0,0,0,0
5/17/2020,95400,3510,531.765,1772.55,0,0,0,0
5/24/2020,92000,3545.1,521.235,1701.648,0,0,0,0
5/31/2020,91078,3439.8,521.235,1668.303,0,0,0,0
6/7/2020,97480,3615.3,537.03,1771.497,0,0,0,0
6/14/2020,94840,3439.8,515.97,1754.298,0,0,0,0
6/21/2020,90655.6,3510,971.235,1772.55,0,0,0,3000
6/28/2020,97321.6,3510,537.03,1684.8,0,0,0,3000
7/5/2020,92200,3615.3,521.235,1898.0325,0,0,0,3000
7/12/2020,97157.6,2363.4,654.51,1169.883,0,0,0,3000
7/19/2020,93520,2316.6,358.02,1111.968,0,0,0,3000
7/26/2020,108945.48,2386.8,347.49,1193.4,0,0,0,3000
8/2/2020,111212.64,1575.6,351,756.288,0,0,0,3000
8/9/2020,108108,1528.8,558.02,749.112,0,0,0,3000
8/16/2020,103950,1544.4,643.98,787.644,0,0,0,3000
8/23/2020,94746.96,1591.2,551,835.38,0,0,0,3000
8/30/2020,97020,1544.4,358.02,741.312,0,0,0,3000
9/6/2020,93374.82,1560,358.02,748.8,0,0,0,3000
9/13/2020,86514.12,1606.8,358.02,835.536,500,0,0,3000
9/20/2020,88121.88,1606.8,358.02,827.502,500,0,0,3000
9/27/2020,74844,1432.08,347.49,708.8796,500,0,0,3000
10/4/2020,74844,1432.08,351,723.2004,500,0,0,3000
10/11/2020,72072,1446.12,347.49,694.1376,500,0,0,3000
10/18/2020,67914,1389.96,358.02,694.98,500,0,0,3000
10/25/2020,64393.56,1389.96,351,667.1808,500,0,0,3000
11/1/2020,53194.68,1446.12,354.51,715.8294,500,0,0,3000
11/8/2020,64490.58,1389.96,343.98,688.0302,500,0,0,3000
11/15/2020,68593.14,1432.08,343.98,723.2004,500,0,0,3000
11/22/2020,77616,1375.92,347.49,681.0804,500,0,0,3000
11/29/2020,70686,1404,343.98,673.92,500,0,0,3000
12/6/2020,69300,1375.92,354.51,715.4784,500,0,0,3000
12/13/2020,64490.58,1389.96,354.51,660.231,500,0,0,3000
12/20/2020,64490.58,1432.08,354.51,723.2004,500,0,0,3000
12/27/2020,63118.44,1528.8,354.51,772.044,500,0,0,3000
1/3/2021,56257.74,1544.4,358.02,795.366,500,0,0,0
1/10/2021,55440,1544.4,351,772.2,500,0,0,0
1/17/2021,49397.04,1591.2,358.02,779.688,500,0,0,0
1/24/2021,45280.62,1544.4,343.98,803.088,500,0,0,0
1/31/2021,48995.1,1575.6,347.49,748.41,500,0,0,0
2/7/2021,46195.38,1544.4,347.49,756.756,500,0,0,0
2/14/2021,43908.48,1528.8,354.51,772.044,500,0,0,0
2/21/2021,51794.82,1528.8,354.51,741.468,500,0,0,1000
2/28/2021,74053.98,3088.8,347.49,1482.624,500,0,0,1000
3/7/2021,84546,3088.8,347.49,1528.956,500,0,0,1000
3/14/2021,89452.44,3104.4,347.49,1614.288,0,0,0,1000
3/21/2021,109050.48,6336.4,351,3136.518,0,0,0,1000
3/28/2021,88711.98,7800,351,3900,0,0,0,1000
4/4/2021,91038.36,2808,354.51,1404,0,0,0,1000
4/11/2021,88938.36,1733.16,347.49,892.5774,0,0,0,1000
4/18/2021,79584.12,1698.84,347.49,866.4084,0,0,0,0
4/25/2021,76839.84,1698.84,347.49,849.42,0,0,0,0
5/2/2021,76839.84,1733.16,354.51,875.2458,0,0,0,0
5/9/2021,74844,1698.84,347.49,891.891,0,0,0,0
5/16/2021,79002,1733.16,343.98,831.9168,0,0,0,0
5/23/2021,76992.3,1681.68,347.49,832.4316,0,0,0,0
5/30/2021,76839.84,1681.68,343.98,849.2484,0,0,0,0
6/6/2021,73458,1716,343.98,900.9,0,0,0,0
6/13/2021,75467.7,1767.48,351,883.74,0,0,0,0
6/20/2021,72723.42,1698.84,358.02,874.9026,0,0,0,0
6/27/2021,72072,1716,351,832.26,0,0,0,0
7/4/2021,73458,1698.84,351,840.9258,0,0,0,0
7/11/2021,72723.42,1681.68,347.49,857.6568,0,0,0,0
7/18/2021,65793.42,1767.48,343.98,848.3904,0,0,0,0
7/25/2021,70686,1733.16,343.98,909.909,0,0,0,0
8/1/2021,67193.28,1698.84,354.51,883.3968,0,0,0,0
8/8/2021,59002.02,1698.84,358.02,806.949,0,0,0,0
8/15/2021,57629.88,1750.32,343.98,918.918,0,0,0,0
8/22/2021,79598,1750.32,354.51,883.9116,0,0,0,0
8/29/2021,67326,1898.84,347.49,949.42,0,0,0,0
9/5/2021,68712,1950.32,354.51,1023.918,0,0,0,0
9/12/2021,71282,1767.48,358.02,919.0896,0,0,0,0
9/19/2021,53513.46,1606.8,354.51,835.536,0,0,0,0
9/26/2021,51794.82,1528.8,354.51,749.112,0,0,0,0
10/3/2021,89812.8,1606.8,482.239,771.264,0,0,0,0
10/10/2021,86486.4,1575.6,486.1,772.044,0,0,0,0
10/17/2021,81496.8,1575.6,489.961,748.41,0,0,0,0
10/24/2021,77272.272,1528.8,489.961,779.688,0,0,0,0
10/31/2021,83833.616,1528.8,489.961,764.4,0,0,0,0
11/7/2021,77388.696,1544.4,486.1,764.478,0,0,0,0
11/14/2021,82311.768,1575.6,478.378,811.434,0,0,0,0
11/21/2021,93139.2,1528.8,482.239,733.824,0,0,0,0
11/28/2021,84823.2,1575.6,482.239,827.19,0,0,0,0
12/5/2021,83160,1591.2,478.378,779.688,0,0,0,0
12/12/2021,77388.696,1575.6,786.1,795.678,0,0,0,0
12/19/2021,77388.696,1591.2,789.961,771.732,0,0,0,0
12/26/2021,75742.128,1544.4,478.378,756.756,1000,1000,0,0
1/2/2022,81011.1456,1544.4,489.961,795.366,1000,1000,0,0
1/9/2022,79833.6,1575.6,493.822,748.41,1000,1000,0,0
1/16/2022,71131.7376,1591.2,482.239,819.468,1000,1000,0,0
1/23/2022,65204.0928,1591.2,482.239,803.556,1000,1000,0,0
1/30/2022,70552.944,3397.68,482.239,1613.898,1000,1000,0,0
2/6/2022,66521.3472,3432,482.239,1698.84,1000,1000,0,0
2/13/2022,63228.2112,3397.68,478.378,1630.8864,1000,1000,0,0
2/20/2022,74584.5408,3466.32,478.378,1819.818,1000,1000,0,0
2/27/2022,85637.7312,3500.64,489.961,1837.836,1000,1000,0,0
3/6/2022,100746.24,3432,1007.85,1630.2,1000,1000,0,0
3/13/2022,104451.5136,3534.96,1029.0855,1696.7808,1000,1000,0,0
3/20/2022,102222.2712,3397.68,1000.7715,1613.898,1000,1000,0,0
3/27/2022,102125.2512,3397.68,1000.7715,1698.84,1000,1000,0,0
4/3/2022,97781.4684,3466.32,1014.9285,1819.818,1000,1000,0,0
4/10/2022,95916.3072,3466.32,1014.9285,1767.8232,1000,1000,0,0
4/17/2022,93601.1328,3363.36,1093.693,1631.2296,1000,1000,0,0
4/24/2022,100149.3696,3397.68,1000.7715,1766.7936,1000,0,0,0
5/1/2022,100149.3696,3432,1007.85,1630.2,1000,0,0,0
5/8/2022,107775.36,3432,1007.85,1664.52,1000,0,2500,0
5/15/2022,113762.88,3466.32,1014.9285,1681.1652,1000,0,2500,0
5/22/2022,110868.912,3432,1007.85,1716,1000,0,2500,0
5/29/2022,100149.3696,3500.64,822.007,1820.3328,1000,0,2500,0
6/5/2022,95279.52,3397.68,800.7715,1766.7936,1000,0,2500,0
6/12/2022,98173.488,3466.32,814.9285,1715.8284,1000,0,2500,0
6/19/2022,104221.7248,3534.96,829.0855,1802.8296,0,0,2500,0
6/26/2022,103283.68,3363.36,793.693,1631.2296,0,0,2500,0
7/3/2022,105279.52,3534.96,829.0855,1855.854,0,0,2500,0
7/10/2022,98221.7248,3363.36,793.693,1715.3136,0,0,2500,0
